Questions,Label
"Do you know who is India's Prime Minister?",11
"What is the name of the Prime Minister of India?",11
"Who is the leader of India?",11
"Who holds the position of Prime Minister in India?",11
"Tell me the name of India's Prime Minister?",11
"What is the current Prime Minister of India called?",11
"Which person is the Prime Minister of India?",11
"The Prime Minister of India is?",11
"Who is the President of India?",12
"Can you name India's President?",12
"Do you know who is India's President?",12
"What is the name of the President of India?",12
"Who holds the position of President in India?",12
"Tell me the name of India's President?",12
"What is the current President of India called?",12
"Which person is the President of India?",12
"The President of India is?",12
"Who is the Vice President of India?",12
"How many states are there in India?",13
"What is the total number of states in India?",13
"Can you tell me how many states India has?",13
"Do you know the number of states in India?",13
"What is the count of states in India?",13
"How many regions are there in India?",13
"Tell me the total states of India?",13
"What is the state count in India?",13
"How many divisions are there in India's states?",13
"The number of states in India is?",13
"What is the national anthem of India?",14
"Can you name India's national anthem?",14
"Do you know the national anthem of India?",14
"What is the name of India's national anthem?",14
"Who wrote India's national anthem?",14
"What is the name of the writer of India's national anthem?",14
"Tell me the name of India's national anthem?",14
"What is the title of the national anthem of India?",14
"What is India's national anthem?", 14
"What song is India's national anthem?", 14
How many planets are there in the solar system?,15
Can you list the planets in the solar system?,15
What is the order of planets in the solar system?,15
Name the planets in the solar system.,15
How many planets orbit the Sun?,15
Planets in the solar system are?,15
What are the names of solar system planets?,15
Which planets are in the solar system?,15
What planets exist in the solar system?,15
Can you name all planets in the solar system?,15
What are the states of matter?,16
Can you name the states of matter?,16
How many states of matter are there?,16
What are the basic states of matter?,16
States of matter are what?,16
Can you list the states of matter?,16
What are examples of states of matter?,16
What is matter's states?,16
How do we categorize states of matter?,16
Name the states of matter.,16
How many layers are there in the atmosphere?,17
Can you name the layers of the atmosphere?,17
What are the atmospheric layers?,17
Name the layers of Earth's atmosphere.,17
How many layers does the atmosphere have?,17
Atmosphere layers are what?,17
What are examples of atmospheric layers?,17
What is the structure of the atmosphere?,17
How do we divide the atmosphere?,17
What are the layers in the atmosphere?,17
What is the boiling point of water?,18
At what temperature does water boil?,18
What is water's boiling temperature?,18
Boiling point of water is what?,18
Can you name water's boiling point?,18
What temperature does water boil at?,18
How hot does water get when it boils?,18
What degree is water's boiling point?,18
At what degree does water boil?,18
What is the standard boiling point of water?,18
What is artificial intelligence?,19
Can you explain artificial intelligence?,19
What does AI stand for?,19
What is the meaning of AI?,19
Artificial intelligence refers to what?,19
What do we mean by artificial intelligence?,19
How would you define artificial intelligence?,19
What is AI in simple terms?,19
Can you describe artificial intelligence?,19
What is the concept of AI?,19
